Item,Arousal.Mean,Arousal.SD,Arousal.N,Arousal.Min,Arousal.Max,Arousal.Unknown,Concreteness.Mean,Concreteness.SD,Concreteness.N,Concreteness.Min,Concreteness.Max,Concreteness.Unknown,Embodiment.Mean,Embodiment.SD,Embodiment.N,Embodiment.Min,Embodiment.Max,Embodiment.Unknown,Imageability.Mean,Imageability.SD,Imageability.N,Imageability.Min,Imageability.Max,Imageability.Unknown,Valence.Mean,Valence.SD,Valence.N,Valence.Min,Valence.Max,Valence.Unknown
sharpen,7,1.33,18,5,9,NA,3.69,1.32,26,1,5,NA,3.83,2.12,23,1,7,NA,6.04,1.67,25,1,7,NA,4.89,1.5,27,1,8,NA
shatter,7.11,1.84,18,3,9,NA,4.35,0.69,26,3,5,NA,4.15,2.03,20,1,7,NA,5.96,1.4,25,2,7,NA,2.57,1.45,30,1,7,NA
shattering,7.17,1.54,18,3,9,NA,4.2,0.96,25,2,5,NA,3.33,1.93,49,1,7,NA,6.1,1.37,30,2,7,NA,2.74,1.6,34,1,6,NA
sheathe,4.67,1.35,15,1,6,4,3.65,1.31,20,1,5,3,3.36,2.04,22,1,6,5,4.9,1.74,20,2,7,5,4.72,1.1,25,1,6,5
shelled,4.76,1.35,17,2,7,2,3.18,1.26,22,1,5,1,2.92,1.81,26,1,6,1,4.95,1.75,21,1,7,4,4.54,1.26,28,1,7,2
shelve,3.63,1.95,19,1,7,NA,3.42,1.3,26,1,5,1,2.78,1.98,23,1,7,1,5.17,1.97,24,1,7,1,5.1,1.23,29,1,8,1
shied,4.77,2.05,13,1,8,4,3.53,1.22,19,1,5,6,NA,NA,NA,NA,NA,NA,4.2,1.99,20,1,7,8,4.33,1.24,21,2,6,8
shipped,5.12,1.75,16,1,8,NA,3.64,0.95,25,2,5,NA,2.75,1.87,24,1,7,NA,5.04,1.82,23,2,7,NA,5.48,1.16,27,3,8,1
shirk,5.1,2.08,10,2,9,11,2.09,0.83,11,1,3,14,3.77,2.2,13,1,7,14,3.33,1.92,12,1,7,14,4.31,1.49,13,2,8,16
shoeshine,4.35,1.54,17,1,7,4,4.4,0.94,20,2,5,3,4.33,2.63,21,1,7,5,6.05,1.79,22,1,7,4,5.13,1.52,23,1,9,5
shone,5.57,2.06,21,3,9,1,3.62,1.12,21,2,5,5,2.71,1.93,21,1,7,2,5.52,1.65,23,2,7,1,6.56,2.26,25,1,9,4
shook,8.13,0.83,15,7,9,NA,4.36,0.91,25,2,5,NA,4.92,1.98,24,1,7,NA,5.26,1.94,23,1,7,NA,4.39,1.42,28,1,7,NA
shoplift,7.9,1.02,20,6,9,NA,4.52,0.92,25,1,5,NA,5.81,1.64,27,1,7,NA,6.5,1.33,26,1,7,NA,1.79,1.5,29,1,7,NA
shorten,4.12,1.54,17,1,6,1,3.71,1.36,28,1,5,NA,3.28,1.7,25,1,7,NA,5.52,2.15,29,1,7,NA,4.6,1.45,30,1,9,NA
should,4.38,1.5,21,1,6,NA,1.56,1.08,25,1,5,NA,1.65,1.41,26,1,5,NA,1.44,0.82,25,1,3,NA,5.1,1.05,29,3,9,NA
shouldered,5.33,1.39,21,3,8,1,3.22,1.38,23,1,5,3,5.14,1.53,21,2,7,2,4.22,1.76,23,1,7,1,3.96,1.16,27,2,6,2
shouldering,5.07,1.49,15,1,7,6,3.06,1.34,17,1,5,8,4.5,1.97,22,1,7,5,4.21,1.84,19,2,7,7,4.82,1.5,22,3,7,7
shown,4.39,1.75,18,1,9,NA,3.23,1.5,26,1,5,NA,3.91,2.07,23,1,7,NA,3.8,2.1,25,1,7,NA,5.63,1.04,27,4,9,NA
shrank,4.95,1.51,19,3,8,1,3.92,1.18,24,1,5,2,4.4,1.96,25,1,7,1,6.2,1.41,25,2,7,NA,3.65,1.2,26,1,6,1
shrivel,5.52,1.83,21,2,9,NA,4.32,0.85,25,2,5,NA,4.37,1.86,27,1,7,NA,6.32,1.03,25,3,7,1,2.86,1.41,28,1,5,1
shrouded,4.35,2.29,17,1,8,2,2.52,1.41,23,1,5,5,2.33,1.43,21,1,5,7,3.59,1.79,22,1,7,5,4.42,1.88,26,1,9,4
shudder,6.35,1.73,20,1,9,NA,4.28,1.1,25,1,5,NA,6.54,0.88,24,4,7,NA,6.24,1.09,25,3,7,NA,3.03,1.55,29,1,7,NA
shutting,5,2,17,1,8,1,4.14,1.33,28,1,5,NA,4.04,2.35,25,1,7,NA,5.34,2.35,29,1,7,NA,3.59,1.02,29,1,5,1
sicken,6.35,2.06,20,1,9,NA,3.09,1.24,23,1,5,NA,5.56,1.74,27,1,7,NA,5.2,1.35,25,2,7,NA,2,1.06,31,1,5,NA
sided,4.94,1.44,16,2,7,1,2.6,1.26,25,1,5,NA,NA,NA,NA,NA,NA,NA,3,1.92,28,1,7,NA,4.72,0.8,29,2,6,NA
sidetrack,5.21,1.32,19,3,7,1,2.36,1.08,25,1,4,2,2.5,1.58,18,1,6,2,3.77,2.11,22,1,7,2,3.93,1.3,28,1,6,2
sifted,4.24,1.35,17,1,6,1,3.67,1.17,24,1,5,4,2.57,1.91,21,1,7,4,5.16,1.91,25,1,7,4,4.73,1.04,26,1,6,4
sighing,2.92,1.5,13,1,6,NA,4.62,0.9,26,1,5,NA,6.3,1.33,23,1,7,NA,6.57,0.88,28,4,7,NA,3.67,1.17,24,1,6,NA
sighted,5.83,1.2,18,4,9,1,3.73,1.25,26,1,5,1,5.26,1.96,23,1,7,1,4.7,2.27,23,1,7,2,5.45,1.53,29,1,9,1
sightsee,6,2.73,20,1,9,1,4.57,0.63,28,3,5,NA,5.93,1.12,28,4,7,NA,6.25,1.39,32,1,7,NA,7.88,1.34,32,4,9,NA
signify,4.53,1.22,19,1,6,NA,2.04,1.15,23,1,5,NA,2.44,1.5,27,1,5,NA,2.84,1.62,25,1,7,NA,5.23,0.43,30,5,6,NA
silenced,3.67,2.18,21,1,9,NA,3.77,1.11,22,2,5,NA,4.21,1.96,24,1,7,NA,5,1.72,30,1,7,NA,3.72,1.93,29,1,9,NA
simmer,4.5,2.24,22,1,8,NA,3.77,0.91,26,2,5,NA,2.32,1.46,22,1,5,1,5.5,1.79,24,1,7,NA,5.18,1.42,28,1,8,1
simplify,3,1.63,22,1,6,NA,2.19,1.3,26,1,5,NA,1.78,1.09,23,1,4,NA,2.58,1.32,24,1,6,NA,6.79,1.47,29,2,9,NA
simulate,6.38,1.91,24,1,9,NA,2.83,1.14,29,1,5,NA,3.74,1.61,27,1,7,NA,3.48,1.89,27,1,7,1,5.63,1.07,30,4,8,NA
singled,5.78,2.07,18,1,9,3,2.91,1.31,22,1,5,3,3.54,2.17,24,1,7,2,4.26,2.18,23,1,7,2,3.78,1.74,27,1,9,2
situate,4.38,1.77,21,1,9,NA,2.93,1.31,29,1,5,NA,3.81,1.94,27,1,7,1,2.89,2.06,27,1,7,1,5.53,1.24,32,3,9,1
situated,4.24,1.64,21,1,6,NA,2.88,1.39,25,1,5,NA,2.67,1.73,27,1,7,NA,3.29,1.81,24,1,6,2,5.55,1.33,29,3,9,NA
skedaddle,7.42,1.35,19,5,9,NA,3.58,1.14,24,1,5,1,5.64,1.71,22,1,7,1,5.3,1.61,27,2,7,1,6.77,1.73,26,3,9,1
skimmed,4.42,1.46,19,1,6,1,3.31,1.41,26,1,5,2,2.78,1.95,23,1,7,1,4.54,1.92,26,1,7,1,4.77,1.27,26,1,7,1
skimming,4,2.06,17,1,7,2,3.63,1.42,27,1,5,1,3.67,2.15,27,1,7,1,4.28,2.17,25,1,7,2,4.85,1.2,27,1,7,3
skimp,5.19,1.17,16,2,7,6,2.67,1.19,18,1,4,8,2.88,1.59,16,1,6,7,3.18,1.63,17,1,6,7,3.61,1.5,18,1,6,11
skipping,6.26,1.57,23,2,9,NA,4.65,0.63,26,3,5,NA,5.88,1.3,25,3,7,NA,6.33,1.01,24,3,7,NA,6.74,1.61,31,4,9,NA
skulk,5.38,1.98,13,2,9,5,3.88,0.96,16,2,5,9,5.04,2.05,27,1,7,22,5.05,1.5,20,1,7,10,3.42,1.47,24,1,5,10
skyrocket,7.38,1.5,16,5,9,1,3.5,1.29,24,1,5,1,NA,NA,NA,NA,NA,NA,5.78,1.72,27,1,7,1,6.37,1.55,27,3,9,1
slacken,3.33,1.91,18,1,9,1,3.26,1.23,27,1,5,1,4.35,1.9,26,1,7,2,4.52,1.98,25,1,7,2,4.35,1.81,26,1,9,4
slain,6.79,1.96,19,1,9,1,3.72,1.37,25,1,5,NA,5.21,1.47,24,1,7,NA,5.64,1.63,25,1,7,NA,2.38,1.72,29,1,7,NA
slashed,6.68,1.34,19,5,9,NA,3.96,1.35,28,1,5,NA,4.88,2.03,25,1,7,NA,6.03,1.5,30,2,7,NA,2.94,1.54,33,1,6,NA
slashing,7.16,1.3,19,5,9,NA,4.18,1.09,28,1,5,NA,4.56,2.16,25,1,7,NA,6.26,1.34,31,2,7,NA,3,1.48,33,1,6,NA
slay,7.3,1.46,23,4,9,NA,3.69,1.16,26,1,5,NA,4.88,1.26,24,3,7,1,5.7,1.18,23,3,7,1,4.03,2.58,31,1,9,NA
slept,1.74,1.33,19,1,5,NA,4.78,0.52,23,3,5,NA,6.56,0.85,27,4,7,NA,6.6,1.08,25,2,7,NA,8.13,1.28,30,5,9,NA
sliced,6.5,1.65,22,3,9,1,4.31,1.12,26,1,5,NA,4.43,2.06,28,1,7,NA,6.5,0.99,26,3,7,NA,3.93,1.54,28,1,6,NA
slipped,6.71,1.74,21,2,9,NA,4.78,0.7,27,2,5,NA,6.32,1.16,28,3,7,NA,6.59,0.8,27,4,7,NA,2.79,1.32,28,1,5,NA
slipping,6.81,1.5,21,4,9,NA,4.83,0.38,29,4,5,NA,6.18,1.33,28,1,7,NA,6.56,0.76,32,4,7,NA,2.97,1.51,32,1,7,NA
slobber,5.53,1.77,15,3,8,3,4.33,1.09,24,1,5,2,6.05,1.43,19,2,7,2,6.14,1.67,22,1,7,3,3.86,1.99,28,1,9,2
slosh,5.87,1.77,15,1,8,4,3.24,1.18,21,1,5,6,2.5,1.74,22,1,7,2,4.75,2.17,20,1,7,5,5,1.41,23,3,9,7
slotted,4.95,0.74,21,3,7,3,2.48,1.28,27,1,5,2,2.39,1.78,23,1,7,4,3.12,2.11,24,1,7,4,4.35,0.98,23,2,6,7
slugged,5.05,2.09,19,1,9,NA,3.43,1.2,23,1,5,NA,4.85,1.59,26,1,7,1,5.08,1.38,24,3,7,1,3.31,1.63,29,1,6,1
slung,5.41,1.37,17,3,9,2,3.5,1.28,20,1,5,3,4.16,1.52,25,1,7,2,4.78,2.04,23,1,7,2,4.81,1.24,27,3,9,3
smeared,5.81,1.33,21,3,9,NA,4.36,0.9,22,1,5,NA,4.38,2.04,24,1,7,NA,6.07,1.26,30,2,7,NA,3.69,1.87,29,1,8,NA
smelled,4.5,1,20,3,7,NA,4.59,0.93,27,1,5,NA,5.67,1.74,21,1,7,NA,5.29,1.85,24,1,7,NA,4.77,1.76,30,1,9,NA
smelling,5.64,1.96,25,1,9,NA,4.79,0.5,28,3,5,NA,6.38,1.17,26,3,7,NA,6.54,0.79,28,5,7,NA,5.16,1.14,32,1,7,NA
smelt,4.11,1.82,19,1,6,NA,4.04,1.37,28,1,5,NA,5.4,2.22,25,1,7,NA,5.37,1.96,30,1,7,1,5.03,1.52,30,1,9,3
smite,6.5,2,16,2,9,6,3.5,1.4,14,1,5,12,4.69,1.62,16,1,7,7,4.69,1.96,16,1,7,8,3.72,2.44,18,1,9,11
smoothing,2.9,2.34,21,1,9,NA,4.03,1.3,29,1,5,NA,4.07,2.04,28,1,7,NA,5.39,1.77,28,1,7,NA,6.76,1.82,33,2,9,NA
smote,6.17,1.47,6,5,8,14,2.43,1.51,7,1,5,20,2.2,1.64,5,1,4,16,2.67,1.63,6,1,5,18,4.4,2.07,10,1,9,20
smother,6.15,2.06,20,1,9,NA,4.13,0.69,23,3,5,NA,5.7,1.51,27,2,7,NA,6.04,1.37,24,2,7,NA,3.67,2.07,30,1,9,1
smothered,5.76,1.82,17,2,9,NA,4.24,0.93,25,2,5,NA,NA,NA,NA,NA,NA,NA,5.67,1.69,27,1,7,1,3.36,1.97,28,1,9,1
smothering,5.95,2.18,21,2,9,NA,3.75,1.04,28,1,5,1,5.07,1.71,27,1,7,1,5.86,1.48,28,2,7,NA,4.24,2.06,33,1,9,NA
smuggle,6.77,1.45,22,4,9,NA,3.73,1,26,2,5,NA,4.78,1.7,23,1,7,NA,5.46,1.56,24,2,7,NA,3.38,1.59,29,1,7,NA
snapped,6.61,1.58,18,4,9,NA,4.14,1.11,28,1,5,NA,4.36,2,25,1,7,NA,5.86,1.66,29,1,7,NA,2.52,1.27,29,1,5,1
snapping,6.58,2.19,19,1,9,NA,4.16,1.11,25,2,5,NA,6,1.6,23,2,7,NA,6.07,1.41,28,1,7,NA,4.19,1.66,27,1,7,NA
snatch,7.55,1.43,20,5,9,NA,4.48,0.96,25,1,5,NA,5.46,2.04,24,1,7,NA,6.16,1.37,25,2,7,NA,3.07,1.65,29,1,7,NA
snatched,6.74,1.33,19,5,9,NA,4.17,0.83,23,2,5,NA,4.74,2.14,27,1,7,NA,5.8,1.35,25,3,7,NA,3.87,1.59,30,1,9,NA
snatching,7.5,1.2,18,5,9,1,4.35,0.98,23,1,5,1,5.55,1.57,20,2,7,1,5.93,1.33,28,2,7,1,3.18,1.72,28,1,7,1
sneaking,6.84,1.98,19,2,9,NA,3.96,1.14,25,1,5,NA,6.26,1.21,23,2,7,NA,5.61,1.89,28,1,7,NA,4.74,1.13,27,3,7,NA
sneering,6.95,1.9,20,1,9,NA,3.92,1.29,25,1,5,NA,5.88,1.3,24,3,7,NA,6.04,1.3,24,3,7,1,2.31,1.2,29,1,5,NA
sneezing,4.94,2.14,17,1,8,1,5,0,28,5,5,NA,6.8,0.71,25,4,7,NA,6.93,0.37,29,5,7,NA,4.4,1.13,30,1,6,NA
sniffing,5,2.03,20,1,9,NA,4.79,0.59,24,3,5,NA,6.68,0.69,25,5,7,NA,6.82,0.48,28,5,7,NA,4.83,1.95,30,1,9,NA
snipe,6.81,1.56,16,5,9,2,3.57,1.29,21,1,5,6,4.95,2.13,22,1,7,2,4.95,2.16,21,1,7,1,3.42,1.74,24,1,7,4
snivel,5.3,1.64,10,1,7,11,3.15,1.72,13,1,5,14,4.25,2.08,16,1,7,12,4.06,2.38,16,1,7,11,3.2,1.52,15,1,5,13
snoring,4.27,2.52,26,1,9,NA,4.92,0.28,24,4,5,NA,6.78,0.52,23,5,7,NA,6.77,0.59,26,5,7,NA,4.03,2.04,29,1,9,NA
snuggle,4.24,3.48,21,1,9,NA,4.6,0.87,25,2,5,NA,6.54,1.03,26,3,7,NA,6.56,1.12,25,3,7,NA,8.24,1.68,29,2,9,NA
soaking,3.19,2.76,16,1,9,NA,4.68,0.85,25,1,5,NA,5.96,1.37,24,2,7,NA,6.17,1.53,23,1,7,NA,4.86,1.96,28,1,9,NA
sobbing,6.89,1.88,19,3,9,NA,4.85,0.36,27,4,5,NA,6.79,0.59,24,5,7,NA,7,0,25,7,7,NA,1.27,0.78,30,1,5,NA
sobering,4.44,1.38,18,1,6,1,3.04,1.32,28,1,5,NA,4.64,1.97,22,1,7,2,4.47,1.76,30,1,7,1,4.45,1.88,29,1,7,3
socialize,6.32,1.97,19,2,9,NA,3.57,1.71,28,1,5,NA,6.04,1.43,25,2,7,NA,5.9,1.56,31,1,7,NA,7.24,1.97,33,1,9,NA
soften,2.15,1.66,20,1,6,NA,3.28,1.65,25,1,5,NA,3,1.84,24,1,7,NA,4.48,2.28,25,1,7,NA,7.38,1.15,29,6,9,NA
softening,2.22,2.16,18,1,8,NA,3.29,1.21,28,1,5,NA,3.84,1.86,25,1,7,NA,4.86,1.75,29,1,7,NA,7.17,1.53,30,5,9,NA
soiled,5.75,1.53,16,1,8,NA,3.56,1.26,25,1,5,NA,4.38,2.2,24,1,7,NA,4.91,1.95,23,1,7,NA,2.93,1.46,28,1,6,NA
solder,5.56,1.51,9,2,7,8,3.4,1.12,15,2,5,9,3.28,1.71,18,1,6,7,4.15,1.9,20,1,7,8,4.67,1.24,21,1,6,8
solemnize,3.38,1.71,13,1,6,7,2.07,1.03,15,1,4,8,3.1,1.76,21,1,6,6,3.06,2.15,18,1,7,7,4.27,1.83,22,1,9,9
solicit,5.06,1.35,18,2,8,NA,2.84,1.37,25,1,5,2,3.77,1.8,22,1,7,2,3,2.12,21,1,7,1,4.19,1.3,26,1,6,2
solicited,5.19,1.89,21,1,9,2,2.46,1.32,24,1,5,2,3.48,1.96,25,1,7,3,3.83,2.22,24,1,7,2,4.76,1.56,25,3,9,3
soliciting,5.24,1.89,21,1,9,2,3.12,1.36,24,1,5,2,4.38,1.96,26,1,7,2,4.16,2.34,25,1,7,1,4.12,1.42,25,1,7,3
solidify,4.1,2,21,1,8,NA,3.44,1.6,27,1,5,NA,2.25,1.78,28,1,7,NA,4.74,2.36,27,1,7,NA,5.79,1.29,28,4,9,NA
sorted,2.95,1.79,20,1,6,NA,3.88,1.3,24,1,5,NA,3.88,1.94,25,1,7,NA,5.68,1.66,28,2,7,NA,6.33,1.84,30,3,9,NA
sought,4.39,1.56,23,1,7,2,2.33,1.14,27,1,5,1,2.92,1.66,25,1,7,1,2.85,1.89,26,1,7,2,5.28,1.1,29,3,9,3
sow,4,1.5,18,1,6,4,3.77,1.31,22,1,5,4,4.95,2.12,19,1,7,4,5.64,1.94,22,2,7,2,5.55,1.01,22,4,8,7
sown,4.57,2.21,14,1,9,6,3.71,1.49,17,1,5,8,3.37,1.98,19,1,7,5,4.78,1.93,18,1,7,7,5.09,1.15,22,2,8,7
spaced,3.17,1.61,24,1,5,1,2.67,1.24,27,1,5,1,2.56,1.78,25,1,7,1,4.19,1.59,27,1,7,1,4.97,0.66,31,3,6,1
spank,8.12,1.02,16,6,9,NA,4.88,0.33,25,4,5,NA,6.83,0.56,24,5,7,NA,6.48,1.27,23,2,7,NA,3.07,2.18,28,1,8,NA
sparked,6.81,1.89,21,3,9,NA,3.57,1.08,23,1,5,NA,2.04,1.59,26,1,6,NA,5.38,2.04,26,1,7,NA,6.36,1.45,28,4,9,NA
spay,5.05,1.47,19,2,9,4,3.43,1.03,21,2,5,5,3.4,1.96,20,1,7,8,4.13,2.01,23,1,7,3,4.05,1.76,22,1,9,6
specialize,5.38,1.85,13,1,8,NA,2.19,1.36,26,1,5,NA,3.22,1.28,23,1,5,NA,3.54,1.75,28,1,7,NA,6.67,1.37,24,5,9,NA
specify,4.77,1.72,22,1,9,1,2.08,1.32,25,1,5,1,2.5,1.62,28,1,7,NA,2.54,1.7,26,1,7,NA,5.64,0.99,28,4,8,NA
speculate,4.23,1.84,26,1,8,NA,2.25,1.33,24,1,5,NA,3.83,1.9,23,1,7,NA,3,1.92,26,1,7,NA,5.21,1.57,29,1,9,NA
sped,6.42,1.96,26,1,9,NA,4.17,1.05,24,1,5,NA,4.57,2.19,23,1,7,NA,6.08,1.2,26,3,7,NA,4.9,1.7,29,3,9,NA
spew,5.85,1.87,20,3,9,1,4.09,0.79,23,2,5,2,4.56,2,25,1,7,2,6.08,1.19,25,4,7,1,3.12,1.51,25,1,6,4
spewing,6.42,1.3,19,5,9,1,3.27,1.04,26,1,5,2,4.27,1.98,22,1,7,2,4.79,1.79,24,1,7,3,3.8,1.38,25,1,6,2
spinning,6.63,2.09,19,2,9,NA,4.72,0.46,25,4,5,NA,6.39,1.12,23,4,7,NA,6.32,1.42,28,2,7,NA,5.67,1.62,27,3,9,NA
spiritualize,3.52,2.4,21,1,9,NA,2.04,1.17,25,1,5,NA,2.96,1.89,27,1,7,NA,3.58,2.02,26,1,7,NA,6.62,1.7,29,3,9,NA
spitting,5.84,1.14,25,4,9,NA,4.89,0.31,28,4,5,NA,6.27,0.96,26,4,7,NA,6.68,0.72,28,4,7,NA,2.88,1.26,32,1,5,NA
splashed,6.83,2.01,23,1,9,NA,4.81,0.57,26,3,5,NA,5,1.92,28,1,7,NA,6.62,1.1,26,2,7,NA,6.29,1.8,28,3,9,NA
splashing,7.35,1.97,17,1,9,NA,4.88,0.34,24,4,5,NA,5.72,1.51,25,3,7,NA,6.86,0.59,28,4,7,NA,7.24,1.62,29,3,9,NA
splay,5.47,1.96,15,1,9,5,3.18,1.24,17,1,5,8,4.5,2.07,18,1,7,6,4,2.09,18,1,7,7,4.53,1.47,19,1,6,10
spoiling,5.76,1.34,21,4,9,NA,2.68,1.6,25,1,5,NA,2.63,1.9,27,1,7,NA,5.08,1.96,26,1,7,NA,3.86,2.42,29,1,9,NA
sponged,3.17,1.89,18,1,6,3,2.95,1.54,19,1,5,6,3.25,2.36,20,1,7,5,4.3,2.15,20,1,7,5,5.22,1.24,23,2,9,6
spotted,5,2,26,1,9,NA,3.42,1.38,24,1,5,NA,3.78,2.15,23,1,7,NA,5.38,1.81,26,1,7,NA,4.86,0.95,29,2,7,NA
spouting,4.48,2.02,23,1,9,3,3,1.48,21,1,5,3,2.95,1.79,20,1,6,3,5.17,1.75,23,1,7,3,4.85,1.01,26,3,7,3
sprang,7.35,1.31,20,6,9,NA,4.46,0.93,24,1,5,1,5.97,1.21,29,3,7,1,5.76,1.51,25,3,7,1,6.17,1.42,29,4,9,1
sprawling,4.74,2.1,19,1,9,1,3.86,1.06,21,2,5,2,5.39,1.56,23,2,7,4,5.52,1.81,23,1,7,2,5.43,1.55,28,3,9,3
spreading,5.28,1.67,18,1,9,NA,3.84,1.14,25,2,5,NA,4.33,1.71,49,1,7,NA,5.97,1.43,30,3,7,NA,4.55,1.46,33,1,8,NA
springing,6.39,1.38,18,3,9,1,3.68,1.38,25,1,5,3,5.08,2.02,25,1,7,NA,5.2,2.07,30,1,7,1,6.53,1.52,32,4,9,1
sprinkled,4.38,2.26,26,1,9,NA,3.92,1.35,24,1,5,NA,3.26,1.96,23,1,7,NA,6.04,1.51,26,1,7,NA,6.45,1.38,29,3,9,NA
sprout,4.81,1.78,21,2,9,NA,3.69,1.2,29,1,5,NA,3.59,2.14,27,1,7,1,5.79,1.81,28,1,7,NA,6.66,1.79,32,1,9,1
sprung,7.18,1.47,22,3,9,NA,4.23,1.07,26,1,5,NA,5,1.68,23,3,7,NA,5.83,1.37,24,2,7,NA,6.07,1.24,27,4,9,2
spun,5.9,2.02,20,1,9,NA,4.68,0.56,25,3,5,NA,5.79,1.53,24,1,7,NA,6.24,0.93,25,4,7,NA,5.66,1.32,29,3,9,NA
spurn,4.6,1.82,5,2,7,10,2.3,1.25,10,1,4,13,1.8,1.03,10,1,4,17,2.17,1.34,12,1,5,15,3.67,1.8,9,1,5,19
spurred,6.78,1.4,18,5,9,3,2.63,1.5,19,1,5,8,3.38,1.86,21,1,7,7,3.3,1.89,23,1,7,4,4.74,1.81,23,1,8,5
squander,5.64,1.36,11,4,9,7,2.28,0.96,18,1,4,7,2.77,1.48,13,1,5,8,2.9,1.74,20,1,7,5,3.86,1.75,22,1,8,8
squatted,5.05,1.43,20,1,7,NA,4.27,1.19,26,1,5,1,6.1,1.7,21,1,7,NA,6.14,1.08,22,4,7,2,5.4,1.5,30,1,9,NA
squatting,5.26,1.59,19,1,8,NA,4.76,0.44,25,4,5,NA,6.65,0.93,23,3,7,NA,6.5,1.2,28,2,7,NA,5,1,27,3,7,NA
squawk,6.24,2,21,1,9,2,4.33,1.13,24,1,5,2,4.52,2.24,25,1,7,3,5.68,2.06,25,1,7,1,4.58,1.3,26,1,7,2
squeaking,5.95,1.91,21,1,9,NA,4.17,1.34,29,1,5,NA,4.43,2.17,28,1,7,NA,5.39,2.22,28,1,7,NA,4.58,2.11,33,1,9,NA
squeezing,6.28,1.41,18,4,9,NA,4.69,0.68,26,2,5,NA,6.14,1.24,21,3,7,NA,6.4,1.04,25,3,7,NA,5.03,1.27,30,1,7,NA
squelch,6.18,1.51,17,4,9,3,3.47,1.13,15,2,5,9,3.86,1.96,21,1,7,4,4.05,1.83,21,1,7,7,3.7,1.64,23,1,6,7
squint,5.28,1.13,18,2,7,NA,4.73,0.67,26,2,5,1,6.58,0.93,24,3,7,NA,6.91,0.29,22,6,7,NA,4.39,0.96,28,1,6,NA
squinted,4.4,1.63,25,1,7,NA,4.75,0.65,28,2,5,NA,6.5,0.71,26,5,7,NA,6.71,0.66,28,4,7,NA,4.66,0.83,32,3,7,NA
squinting,5.15,1.73,20,1,9,NA,5,0,25,5,5,NA,6.62,0.77,24,4,7,NA,6.92,0.28,25,6,7,NA,4.31,0.93,29,2,6,NA
squirting,6.95,1.6,21,4,9,NA,4.64,0.79,22,2,5,NA,5.29,1.71,24,1,7,NA,6.07,1.46,30,2,7,NA,4.41,2.18,29,1,8,NA
stabilize,3.17,1.69,18,1,6,NA,2.84,1.31,25,1,5,1,3.38,1.86,21,1,7,NA,4.58,1.69,24,1,7,1,6.37,1.35,30,5,9,NA
staffed,4.86,1.25,22,1,7,2,2.96,1.29,27,1,5,2,2.88,1.83,24,1,7,2,2.75,1.51,28,1,6,NA,5.11,1.09,27,3,7,3
staged,5.38,1.36,21,2,9,NA,2.69,1.17,29,1,5,NA,2.61,1.42,28,1,5,NA,3.66,1.93,32,1,7,NA,3.72,1.14,32,1,6,NA
stagger,5.94,1.52,17,4,9,1,4.17,1.01,24,2,5,1,5.46,1.8,48,1,7,1,5.38,1.52,29,2,7,1,3.97,1.52,30,1,6,3
stagnate,4.12,1.45,17,1,7,6,2.35,1.31,20,1,5,6,3.43,1.89,21,1,7,4,3.33,1.61,18,1,6,6,3.83,1.76,24,1,8,7
stalked,7.1,1.07,20,6,9,NA,2.96,1.2,28,1,5,NA,4.92,1.53,24,1,7,NA,5.52,1.28,27,2,7,NA,2.33,1.84,27,1,9,NA
stalking,7.29,1.52,21,4,9,NA,3.96,1.17,25,1,5,NA,5.19,1.8,27,1,7,NA,6.42,1.14,26,2,7,NA,1.86,1.25,29,1,5,NA
stanch,5.64,2.11,11,1,9,11,2.9,1.37,10,1,5,16,4.11,2.2,9,1,7,14,3.33,1.67,12,1,7,12,4.31,0.85,13,3,6,16
standardize,4.71,1.76,21,1,9,NA,1.96,1.13,27,1,5,NA,1.86,1.43,28,1,7,NA,2.22,1.28,27,1,5,NA,4.79,1.03,28,1,7,NA
stank,6.11,1.7,19,2,9,NA,3.25,1.43,28,1,5,NA,4.32,2.32,25,1,7,NA,4.03,2.04,30,1,7,1,2.94,1.58,33,1,7,NA
staring,5,2.38,18,1,8,2,4.7,0.63,23,3,5,NA,6.32,1.38,25,2,7,2,6.71,0.75,24,4,7,1,4.45,1.21,29,2,7,2
starred,5.11,1.56,19,1,8,1,3.32,1.46,25,1,5,NA,4.03,2.04,29,1,7,1,4.52,1.94,25,1,7,1,5.69,1.57,26,3,9,4
starring,6.06,2.35,16,1,9,NA,3.21,1.5,24,1,5,1,4.65,2.29,23,1,7,1,4.3,2.2,23,1,7,NA,5.52,1.53,27,2,9,1
startle,8,1.27,17,5,9,1,4.21,1.03,28,1,5,NA,5.72,1.67,25,1,7,NA,6.64,0.73,28,4,7,1,3.37,1.13,30,1,5,NA
starving,7.44,1.65,18,4,9,NA,3.88,1.4,26,1,5,NA,6.04,1.36,23,2,7,NA,6.08,1.38,24,1,7,NA,1.74,1.1,27,1,5,NA
stated,4.7,1.72,20,1,7,NA,3.04,1.34,25,1,5,NA,3.57,1.68,30,1,7,NA,3.31,1.93,26,1,7,NA,5.37,0.61,30,5,7,NA
stave,6.6,1.82,5,5,9,8,2.67,1.56,12,1,5,14,3.36,2.44,14,1,7,9,3.53,2.27,17,1,7,11,3.42,1.56,12,1,5,12
stayed,2.71,1.65,17,1,6,NA,3.36,1.38,25,1,5,NA,NA,NA,NA,NA,NA,NA,3.79,1.93,28,1,7,NA,6,1.63,29,2,9,NA
